;a0c0;a0c1;a0c2;a1c0;a1c1;a1c2;a2c0;a2c1;a2c2;a3c0;a3c1;a3c2;dist_x;dist_y;time
101;-54.0;-52.0;-48.0;-73.0;;-72.0;-76.0;-80.0;-74.0;-84.0;-75.0;;1.0;3.1;00:02:04:286
102;;-56.0;-54.0;;-68.0;-72.0;-85.0;-69.0;-80.0;;-78.0;-86.0;1.0;3.1;00:02:04:395
103;-46.0;;-65.0;-74.0;-69.0;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:04:497
104;-57.0;-47.0;;-74.0;-76.0;-61.0;-89.0;-80.0;-74.0;;-75.0;-82.0;1.0;3.1;00:02:04:602
105;-59.0;-55.0;-48.0;-73.0;;-72.0;-85.0;-80.0;;-85.0;-75.0;;1.0;3.1;00:02:04:706
106;;-56.0;-53.0;-74.0;-68.0;;-85.0;-69.0;-80.0;-110.0;;-86.0;1.0;3.1;00:02:04:812
107;-54.0;;-65.0;-74.0;;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:04:913
108;-54.0;-47.0;;-73.0;-76.0;-61.0;-76.0;-80.0;-74.0;;-75.0;-82.0;1.0;3.1;00:02:05:016
109;;-56.0;-48.0;-65.0;-68.0;-72.0;-85.0;-67.0;-80.0;-85.0;;-85.0;1.0;3.1;00:02:05:122
110;-46.0;-55.0;-65.0;-74.0;-68.0;;-86.0;-70.0;-80.0;;-78.0;-86.0;1.0;3.1;00:02:05:223
111;-54.0;;-65.0;-74.0;;-67.0;-110.0;-74.0;-75.0;-80.0;;-83.0;1.0;3.1;00:02:05:324
112;-56.0;-47.0;;-73.0;-76.0;-60.0;-76.0;-80.0;-74.0;-85.0;-75.0;;1.0;3.1;00:02:05:426
113;;-56.0;-48.0;-65.0;-68.0;-72.0;-85.0;-67.0;-80.0;-85.0;;-85.0;1.0;3.1;00:02:05:527
114;-47.0;-56.0;-65.0;-74.0;-68.0;;;-74.0;-80.0;;-78.0;-85.0;1.0;3.1;00:02:05:633
115;-54.0;;-65.0;;-76.0;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:05:736
116;-57.0;-53.0;;-73.0;-76.0;;-77.0;-80.0;-74.0;-84.0;-75.0;;1.0;3.1;00:02:05:842
117;;-56.0;-48.0;-65.0;-68.0;-72.0;-85.0;-69.0;-80.0;-85.0;;-86.0;1.0;3.1;00:02:05:948
118;-46.0;;-65.0;-74.0;-69.0;-67.0;-110.0;-74.0;-81.0;-110.0;-78.0;;1.0;3.1;00:02:06:048
119;-54.0;-47.0;-65.0;;-76.0;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:06:148
120;-57.0;-52.0;;-74.0;-76.0;;-76.0;-80.0;-74.0;-85.0;-75.0;;1.0;3.1;00:02:06:252
121;;-56.0;-55.0;;-68.0;-72.0;-86.0;-70.0;-80.0;;-78.0;-85.0;1.0;3.1;00:02:06:357
122;-40.0;;-65.0;-74.0;-69.0;-67.0;-110.0;-74.0;-81.0;-80.0;-78.0;;1.0;3.1;00:02:06:457
123;-59.0;-47.0;-52.0;;-76.0;-67.0;-110.0;;-74.0;-80.0;;-82.0;1.0;3.1;00:02:06:560
124;-56.0;-52.0;;-73.0;;-72.0;-76.0;-81.0;-74.0;-84.0;-75.0;;1.0;3.1;00:02:06:665
125;;-55.0;-54.0;;-68.0;-72.0;-85.0;-70.0;-80.0;;-78.0;-86.0;1.0;3.1;00:02:06:766
126;-46.0;;-65.0;-74.0;-68.0;-67.0;-110.0;-74.0;-75.0;-79.0;-78.0;;1.0;3.1;00:02:06:874
127;-59.0;-55.0;-48.0;-73.0;;-72.0;-75.0;-81.0;-74.0;-85.0;-75.0;;1.0;3.1;00:02:07:086
128;;-56.0;-55.0;-75.0;-69.0;;-85.0;-69.0;-80.0;;-78.0;-86.0;1.0;3.1;00:02:07:192
129;-54.0;;-65.0;-75.0;;-67.0;-110.0;-74.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:07:295
130;-57.0;-47.0;;-73.0;-76.0;-60.0;-75.0;-81.0;-74.0;;-75.0;-82.0;1.0;3.1;00:02:07:398
131;;-55.0;-48.0;-75.0;-68.0;-72.0;-85.0;-67.0;-80.0;-84.0;-75.0;;1.0;3.1;00:02:07:498
132;-46.0;-56.0;-55.0;-74.0;-68.0;;-86.0;-69.0;-81.0;;-78.0;-86.0;1.0;3.1;00:02:07:599
133;-54.0;;-64.0;-75.0;;-67.0;-110.0;-75.0;-75.0;-80.0;;-82.0;1.0;3.1;00:02:07:702
134;-57.0;-47.0;;-73.0;-76.0;-60.0;-75.0;-81.0;-73.0;-86.0;-75.0;-83.0;1.0;3.1;00:02:07:805
135;;-56.0;-48.0;-67.0;-68.0;-72.0;-86.0;-67.0;-80.0;-85.0;;-86.0;1.0;3.1;00:02:07:908
136;-51.0;-55.0;-64.0;-74.0;-69.0;;-110.0;;-81.0;-110.0;-78.0;-86.0;1.0;3.1;00:02:08:017
137;-54.0;;-64.0;;-76.0;-67.0;-110.0;-75.0;-75.0;-110.0;;-82.0;1.0;3.1;00:02:08:121
